MQ2,MQ4,MQ5,MQ7,MQ135
138,269,440,626,347
138,269,438,624,348
137,268,439,624,349
137,269,438,625,350
137,269,438,626,349
136,269,440,624,347
137,267,440,626,346
138,269,438,625,345
136,268,439,626,347
137,269,438,626,346
135,270,439,624,345
137,269,438,627,345
137,271,438,626,346
136,269,438,626,346
138,269,439,625,346
136,270,438,624,345
137,270,441,625,344
137,269,439,626,347
137,270,439,624,346
138,268,437,624,347
138,269,439,624,345
137,268,439,624,344
137,272,438,627,346
137,271,439,624,344
140,270,438,626,345
138,269,440,625,346
138,268,439,626,346
138,267,439,625,344
139,268,440,624,346
138,269,438,624,345
139,271,439,624,345
136,271,440,624,346
137,271,439,625,345
135,271,438,625,346
137,270,437,626,346
137,268,438,625,345
138,268,439,625,346
138,268,439,624,346
136,268,440,625,345
137,267,439,623,343
138,269,438,626,343
138,266,439,626,345
138,267,439,624,345
137,269,439,624,344
135,269,437,626,343
139,270,438,624,344
138,269,440,624,344
137,270,438,625,342
137,269,439,624,341
138,269,439,625,342
138,267,437,624,343
136,267,439,623,343
136,269,440,624,345
136,268,437,624,345
136,270,437,626,344
136,270,438,625,344
138,269,439,624,345
137,269,437,625,344
138,269,439,624,343
137,268,438,625,344
137,268,437,624,342
137,269,438,625,345
138,269,439,624,344
136,269,439,625,346
137,268,438,626,344
136,269,439,626,346
138,269,439,625,346
137,268,438,625,346
138,269,437,624,346
138,270,437,625,346
138,269,438,625,348
137,269,440,623,347
137,268,437,625,348
135,268,437,624,348
137,269,437,625,348
137,268,438,626,348
137,268,437,625,348
137,267,438,624,348
137,269,439,623,346
137,267,438,625,346
138,269,437,625,348
136,267,439,623,348
138,269,440,623,348
137,269,437,624,348
136,269,438,624,349
137,268,439,624,348
137,269,439,625,348
135,268,438,625,349
137,268,438,624,349
137,268,437,624,347
137,270,439,624,347
138,268,438,625,347
137,269,437,625,348
136,268,438,623,348
136,267,438,623,348
137,269,437,625,348
137,268,439,624,348
136,268,439,624,346
134,269,439,623,345
137,268,437,624,345
135,269,438,625,345
136,267,438,624,343
136,268,438,623,342
134,268,437,624,345
136,268,437,623,346
136,267,437,623,343
138,267,438,623,345
137,268,437,625,344
136,267,438,624,345
136,267,439,624,345
136,268,438,622,345
135,268,437,625,348
135,269,438,625,347
135,270,437,622,348
137,269,437,625,349
138,267,438,624,347
136,269,438,623,347
135,269,437,623,347
135,268,437,624,347
136,268,437,622,345
135,267,437,624,347
136,267,438,624,346
135,267,436,623,345
138,270,437,624,344
136,269,438,622,346
136,270,437,624,347
136,269,438,622,346
136,270,437,624,346
137,268,436,624,345
136,268,436,624,344
136,269,436,623,345
136,268,436,622,346
139,268,436,623,343
137,268,438,622,344
137,269,437,623,344
135,269,436,623,343
138,270,437,622,343
138,269,436,625,345
138,268,436,624,345
136,267,435,622,345
138,268,437,623,343
137,269,436,623,344
138,267,436,623,344
137,268,437,624,343
139,268,436,624,345
135,267,436,623,345
136,268,436,624,343
133,269,438,624,345
136,267,437,623,345
135,268,437,623,343
136,268,436,624,345
135,269,437,622,343
133,269,436,624,345
135,269,437,622,344
136,268,436,623,346
135,268,436,623,345
136,267,437,624,346
137,267,436,623,345
136,268,436,624,343
137,267,437,622,344
136,268,437,623,345
137,268,436,624,346
135,266,437,622,346
135,268,436,624,346
139,268,435,624,345
135,268,437,622,345
138,267,437,623,344
136,268,436,624,343
133,267,437,622,345
138,267,436,624,346
135,268,437,622,345
134,267,435,624,344
137,267,436,624,345
137,267,436,624,344
137,266,436,622,343
136,267,436,622,345
135,268,436,623,344
135,268,436,622,344
135,267,437,622,345
136,267,437,622,344
136,267,436,621,343
134,266,436,623,345
136,268,435,623,344
136,267,436,623,345
135,267,436,621,343
136,267,436,623,345
137,268,436,622,343
135,268,434,624,345
136,267,436,621,345
136,267,436,623,343
136,268,436,621,344
134,267,436,623,345
135,268,434,622,344
136,267,436,622,345
136,267,436,623,344
135,269,434,623,345
136,267,436,623,345
136,267,436,623,346
136,267,436,621,345
138,268,434,623,345
137,268,434,623,346
136,267,435,622,345
137,266,434,623,345
135,266,435,622,345
137,268,434,622,345
